NAME,STATUS,WATERSHED,COUNCIL_DI,PRIMARY_FE,SW_TREE_TR,SW_PLANTER,SW_BUMPOUT,RAIN_GARDE,SW_BASIN,INFILTRATI,POROUS_PAV,SWALE,SW_WETLAND,CISTERN_RA,GREEN_ROOF,OTHER,LINK,LONGITUDE,LATITUDE,LINK_1,LINK_2,LAT,LNG
Reese St,Constructed,Delaware,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.1430863,39.98098975,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9809978181,-75.1430880621
Ralph Brooks Park,In Design,Schuylkill,2,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.17772535,39.93145383,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9314618954,-75.1777271238
Queen Lane from Henry St to Fox St,Constructed,Schuylkill,4,Stormwater Bumpout, , ,2 Stormwater Bumpouts, , , , , , , , , ,alt,-75.18509374,40.01723559,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,40.0172436639,-75.1850955259
"Preston St, 41st St, Brown St, and Aspen St (Belmont School)",In Construction,Schuylkill,3,Stormwater Tree Trench,4 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.20479192,39.96665795,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.966666016,-75.2047937074
Poplar St from 8th St to Franklin St,In Construction,Delaware,5,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.1500383,39.96785255,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9678606177,-75.1500400648
"Pine, Larchwood, 51st (Malcolm X Park)",In Design,Schuylkill,3,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.22539061,39.95264717,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9526552325,-75.2253923983
"Pine St, Frazier St, and 57th St (Andrew Hamilton School)",Constructed,Schuylkill,3,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.23558104,39.95469311,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.954701173,-75.2355828345
Philadelphia Zoo,Constructed,Schuylkill,4,Rain Garden, ,1 Stormwater Planter, ,7 Rain Gardens, ,6 Infiltration/Storage Trenches, , , , , , ,alt,-75.19928175,39.97467553,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9746835999,-75.1992835335
Philadelphia Protestant House,In Design,Delaware,"9, 10",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.08959563,40.04829363,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0483017185,-75.0895973802
Philadelphia Military Academy,Constructed,Delaware,5,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.15453106,39.9852519,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.985259969,-75.1545328314
Percy St from Catharine St to Christian St,Constructed,Delaware,1,Pervious Paving, , , , , , ,1 Porous Paving Project, , , , , ,alt,-75.15820596,39.93942767,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.9394357303,-75.15820773
"Pennway, Longshore, Algon, Knorr",In Design,Delaware,"7, 10",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.08012969,40.05000884,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0500169252,-75.0801314407
Penn Treaty School - Moyer St,In Design,Delaware,"1, 5",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.1271208,39.97264814,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9726562138,-75.1271225635
Penn Street Trail,In Construction,Delaware,1,Rain Garden, , , ,5 Rain Gardens, , , , , , , , ,alt,-75.13514904,39.96252412,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9625321877,-75.135150799
Penn St and Belfield Ave,In Design,TTF,8,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.16654625,40.03682653,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0368346131,-75.166548029
Passyunk Ave from Dickinson St To Reed St,Constructed,Delaware,1,Stormwater Planter, ,1 Stormwater Planter, , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.16160054,39.93137526,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater-planter,39.931383322,-75.1616023054
Passyunk Ave,Constructed,Schuylkill,2,Stormwater Bumpout, , ,3 Stormwater Bumpouts, , , , , , , , , ,alt,-75.20732517,39.9198601,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,39.9198681573,-75.2073269569
"Parking Lot - 12th St, Marvine St, and Diamond St",In Construction,Delaware,5,Stormwater Tree Trench,5 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.15260423,39.98340398,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9834120519,-75.1526060043
Park Ave,In Design,Delaware,5,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.15512844,39.98531484,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9853229103,-75.1551302122
Panati Playground,In Construction,Delaware,8,Rain Garden, , , ,3 Rain Gardens, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.16535718,40.0019589,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0019669745,-75.1653589525
Palmer St from Frankford Ave to Blair St (Shissler Playground),Constructed,Delaware,7,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.13290132,39.97561406,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9756221308,-75.1329030845
Palmer Cemetery,In Design,Delaware,5,Stormwater Tree Trench,2 Stormwater Tree Trenches,1 Stormwater Planter, , , , , , , , , , ,alt,-75.1295251,39.97485592,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9748639909,-75.1295268638
Ontario St from A St to 6th St,In Design,Delaware,7,Stormwater Tree Trench,5 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.13335655,40.00211278,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.002120853,-75.13335831
Olney High Field : 100 E DUNCANNON AVE,In Construction,TTF,9,Other, , , , , , , , , , , , ,alt,-75.12162866,40.02809297,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0281010496,-75.1216304268
Old York Rd (Skevchenko Park),In Design,TTF,9,Stormwater Bumpout, , ,2 Stormwater Bumpouts, , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.14509496,40.03440176,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,40.0344098422,-75.1450967326
Old Cathedral Cemetary,In Construction,Schuylkill,3,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.21730534,39.97139339,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9714014542,-75.21730713
Ogden St and Ramsey St (West Mill Creek Recreation Center),Constructed,Schuylkill,3,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , ,1 Porous Paving Project, , , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/mill_creek_tree_trench,-75.22332624,39.96709093,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9670989956,-75.2233280349
"Oakford, 30th (Donald Finnegan Playground)",Constructed,Schuylkill,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.1926603,39.93821964,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9382276973,-75.1926620842
"Norris St, Van Pelt St, and Berks St (Frederick Douglass Elementary School)",Constructed,Delaware,5,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.16967308,39.98404991,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9840579797,-75.1696748561
Norris Square,In Planning,Delaware,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, , , , , , , , ,alt,-75.13468528,39.98268258,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9826906563,-75.134687047
National Cemetery,In Design,TTF,9,Swale, , , , , , , ,3 Swales, , , , ,alt,-75.15446079,40.05780495,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0578130327,-75.1544625679
Moyamensing Ave and Morris St (Dickinson Square),In Construction,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, ,1 Stormwater Bumpout, , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.1514425,39.92764536,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9276534167,-75.1514442679
Moss Playground,In Design,Delaware,6,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.06321007,40.01639679,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.01640487,-75.0632118168
Morris Park,In Design,Cobbs-Darby,4,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, , , , , , , , ,alt,-75.25742523,39.98256196,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.982570026,-75.257427031
Morris Leeds Middle School,Constructed,TTF,9,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.17440844,40.07057092,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0705790076,-75.174410225
Morris Estates,In Design,TTF,8,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, , , , , , , , ,alt,-75.14614511,40.05033083,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0503389145,-75.1461468814
Morris Estate Playground,In Design,TTF,8,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,alt,-75.14614511,40.05033083,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0503389145,-75.1461468814
"Montgomery Ave, Shissler Playground",Constructed,Delaware,7,Infiltration/Storage Trench,1 Stormwater Tree Trench, , , , ,2 Infiltration/Storage Trenches, , , , , , ,alt,-75.13210522,39.97686608,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9768741502,-75.1321069825
"Mole, Bancroft",In Design,Schuylkill,2,Pervious Paving, , , , , , ,1 Porous Paving Project, , , , , ,alt,-75.17411158,39.92049053,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.9204985841,-75.1741133517
Mole St from Fitzwater to Catharine St and Webster St from 16th to 17th,In Design,Delaware,2,Pervious Paving, , , , , , ,1 Porous Paving Project, , , , , ,alt,-75.16963472,39.94150753,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.9415155931,-75.1696364907
Mill Creek Playground Basketball Court,Constructed,Schuylkill,3,Pervious Paving, , , , , , ,1 Porous Paving Project, , , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/porous_court_mill_creek,-75.21595905,39.96581348,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.965821549,-75.2159608336
Mifflin Square,In Planning,Delaware,1,Rain Garden, , , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.15651952,39.91948566,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9194937157,-75.1565212915
"Mercer, Indiana, Ann, Almond (Powers Park)",In Design,Delaware,1,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.10867723,39.98264171,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9826497878,-75.1086789808
McMahon St (Waterview Recreation Center),Constructed,TTF,8,Stormwater Tree Trench,2 Stormwater Tree Trenches,2 Stormwater Planters, , , , ,1 Porous Paving Project, , , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/waterview_recreation,-75.16814515,40.04551193,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0455200086,-75.1681469251
McKinley School,In Planning,Delaware,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.14111007,39.98350578,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9835138555,-75.1411118389
McCreesh Playground / Catharine Elementary School,In Construction,Cobbs-Darby,2,Infiltration/Storage Trench,2 Stormwater Tree Trenches, , , , ,3 Infiltration/Storage Trenches, , , , , , ,alt,-75.23994459,39.92674686,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9267549138,-75.2399463854
Master / Wanamaker / Hobart,In Design,Schuylkill,4,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.23604933,39.9731883,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.973196364,-75.2360511274
"Marston St, Eyre St, and Taney St",In Design,Schuylkill,5,Pervious Paving, , , , , , ,3 Porous Paving Projects, , , , , ,alt,-75.17903406,39.98210964,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.9821177156,-75.1790358339
Marshall St from Hunting Park Ave to Cayuga St,In Design,TTF,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , ,1 Porous Paving Project, , , , , ,alt,-75.13765318,40.01694602,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0169541016,-75.1376549483
Mariana Bracetti Academy Charter School,In Design,TTF,1,Stormwater Tree Trench,1 Stormwater Tree Trench,1 Stormwater Planter, , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.0945382,40.00532447,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0053325446,-75.094539956
Mansfield Ave,In Design,TTF,9,Stormwater Tree Trench,5 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.16298861,40.06023276,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0602408493,-75.1629903912
Magnolia Cemetary,Constructed,Delaware,6,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.05292738,40.02284869,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.022856774,-75.052929121
Madison Memorial Park,Constructed,Delaware,1,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.14114311,39.96080543,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9608134998,-75.1411448735
"Luzerne, Dungan, L, Lycoming (Francis Hopkinson Little School House)",In Design,TTF,7,Stormwater Tree Trench,1 Stormwater Tree Trench,1 Stormwater Planter, , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.10232659,40.00845256,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0084606429,-75.1023283416
Little Sisters of the Poor,In Construction,Schuylkill,3,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.22159291,39.93963143,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9396394916,-75.2215947005
Liberty Lands,Constructed,Delaware,1,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/liberty_lands,-75.14183359,39.96587437,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9658824341,-75.1418353578
Leithgow / Cambridge,In Design,Delaware,5,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.14393546,39.96890737,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.968915444,-75.1439372302
Lehigh Ave - Martha to Trenton,In Design,Delaware,1,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.1205803,39.98511899,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9851270591,-75.1205820559
Lawncrest Recreation Center,In Design,TTF,9,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, , , , , , , , ,alt,-75.10149179,40.04669551,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0467035936,-75.1014935426
Lanier Playground,In Design,Schuylkill,2,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.19374034,39.93312328,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9331313394,-75.1937421181
Lancaster Ave from N 58th St to N 63rd St,Constructed,Schuylkill,4,Rain Garden,1 Stormwater Tree Trench, ,1 Stormwater Bumpout,3 Rain Gardens, , , , , , , , ,alt,-75.24176705,39.98301311,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9830211749,-75.241768849
Kinsey from Tackawanna St to Torresdale St,In Design,TTF,7,Other, , , , , , , , , , , ,1 Other SMP Project,alt,-75.08224533,40.00933617,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0093442458,-75.0822470826
Kingsessing Recreation Center,In Design,Schuylkill,3,Rain Garden, , , ,1 Rain Garden, , , ,1 Swale, , , , ,alt,-75.21715434,39.94256125,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9425693065,-75.2171561264
"Kenmore Rd, Haddington St, and Atwood Rd (Cassidy Elementary School)",In Construction,Cobbs-Darby,4,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.25076646,39.9755049,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.97551297,-75.2507682587
Kemble Park,In Construction,TTF,8,Infiltration/Storage Trench, , , ,2 Rain Gardens, ,3 Infiltration/Storage Trenches, ,1 Swale, , , , ,alt,-75.14975558,40.04004393,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.0400520088,-75.1497573485
Kelly Drive Stormwater Improvements,In Design,Schuylkill,4,Swale, , , , , , , ,1 Swale, , , , ,alt,-75.19746859,39.98815922,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,39.988167295,-75.197470377
"Kelley, William D. : 1601-49 N 28TH ST",In Planning,Schuylkill,5,Other, , , , , , , , , , , , ,alt,-75.18006659,39.98081455,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,39.9808226238,-75.1800683634
John F Kennedy Blvd from 30th St to 32nd St,In Design,Schuylkill,3,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.18507981,39.95573506,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9557431204,-75.1850815891
"Jackson St, Tree St, 13th St (Epiphany of Our Lord School)",In Construction,Delaware,1,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.16716295,39.92233764,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9223456988,-75.1671647236
Ivy Hills Cemetery,In Design,Wissahickon,9,Swale, , , , , , , ,1 Swale, , , , ,alt,-75.17810787,40.07368978,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0736978728,-75.178109656
Ingersoll Commons Park,In Design,Delaware,5,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,alt,-75.16263971,39.97426577,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9742738415,-75.1626414805
Hunting Park from Old York Rd to Roosevelt Blvd,In Design,TTF,8,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.14919515,40.01686337,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.0168714504,-75.149196922
Hunting Park,In Design,TTF,5,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, ,1 Infiltration/Storage Trench, ,1 Swale, , , , ,alt,-75.14378597,40.01713345,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.017141525,-75.1437877396
Hope St from Master to Jefferson,In Design,Delaware,5,Pervious Paving, , , , , , ,1 Porous Paving Project, , , , , ,alt,-75.135664,39.97255995,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.9725680217,-75.1356657637
Hope St from Berks to Norris,In Design,Delaware,7,Pervious Paving, , , , , , ,1 Porous Paving Project, , , , , ,alt,-75.13389172,39.97946502,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving,39.9794730965,-75.133893486
"Hirst, Ludlow, Robinson",In Design,Cobbs-Darby,3,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , ,1 Porous Paving Project, , , , , ,alt,-75.24454749,39.96323782,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9632458888,-75.2445492848
Hewson St from Blair St to Trenton Ave (Shissler Playground),Constructed,Delaware,7,Other, , , , , , , , , , , ,1 Other SMP Project,alt,-75.13173165,39.97873193,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,39.9787399983,-75.1317334132
Heston Lot,In Design,Schuylkill,4,Rain Garden, , , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.23182967,39.97792229,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9779303619,-75.2318314684
Herron Playground Basketball Court,Constructed,Delaware,1,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench,1 Porous Paving Project, , , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/herron_playground,-75.14870034,39.93069614,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.930704197,-75.148702101
"Hellerman St, Cottage St, and Levick St (Roosevelt Playground)",Constructed,Delaware,6,Stormwater Planter,3 Stormwater Tree Trenches,4 Stormwater Planters, , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.05407114,40.02562057,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater-planter,40.0256286581,-75.0540728834
"Hegerman St, Magee Ave, and Hellerman St (Dorsey Playground)",Constructed,Delaware,6,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.04809848,40.02161738,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0216254674,-75.0481002205
Haverford Triangle,In Design,Schuylkill,3,Infiltration/Storage Trench, , , ,1 Rain Garden, ,2 Infiltration/Storage Trenches, ,1 Swale, , , , ,alt,-75.22001367,39.96317318,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9631812503,-75.2200154643
"Haverford Ave, 57th St and Vine St (Shepard Recreation Center)",Constructed,Cobbs-Darby,3,Stormwater Tree Trench,3 Stormwater Tree Trenches,1 Stormwater Planter,1 Stormwater Bumpout, , , , , , , , , ,alt,-75.23471902,39.96694166,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9669497274,-75.234720814
Harrowgate Park,In Design,Delaware,1,Rain Garden, , , ,4 Rain Gardens, , , , , , , , ,alt,-75.10639046,39.99924569,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9992537694,-75.1063922193
Harpers Hollow Park,Constructed,TTF,8,Stormwater Basin, , , , ,1 Stormwater Basin, , , , , , , ,alt,-75.15139879,40.0421532,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_basin,40.0421612843,-75.1514005667
Har Nebo Cemetery - Algon and Oxford Intersection,In Design,Delaware,"7, 19",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.08812267,40.04147874,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0414868232,-75.0881244261
Happy Hollow Recreation Center,In Planning,TTF,8,Other, , , , , , , , , , , , ,alt,-75.16651139,40.02380557,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0238136495,-75.1665131667
Hackett School,In Construction,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.126514,39.98114351,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9811515844,-75.1265157562
Guerin Recreation Center,In Design,Schuylkill,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, , ,1 Porous Paving Project, , , , , ,alt,-75.17290832,39.92287611,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9228841687,-75.172910093
Glenwood Triangle,In Design,Delaware,7,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,alt,-75.14363694,40.00054918,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.000557252,-75.1436387026
Glenwood from Pacific to Castor,In Design,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.10127992,40.00113547,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0011435494,-75.1012816749
Glenwood Ave from 6th St to Fairhill St,In Design,Delaware,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.13972257,40.00209704,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0021051192,-75.1397243315
"Collins, Tulip, and Agate",In Design,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , ,1 Other SMP Project,alt,-75.10963124,39.9901049,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9901129782,-75.1096330004
Collazo Park,In Design,Delaware,7,Stormwater Tree Trench,2 Stormwater Tree Trenches, , ,1 Rain Garden, , ,1 Porous Paving Project, , , , , ,alt,-75.13057482,39.9997026,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9997106745,-75.1305765858
Cohocksink Recreation Center,In Construction, ,1,Stormwater Bumpout, , ,1 Stormwater Bumpout,1 Rain Garden, , , , , , , , ,alt,-75.11197714,39.98440387,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,39.9844119459,-75.111978894
